id,roadid,lat,lon,route,district,address
22034,K18,25.01826919,121.4840309,光環路一段,板橋區,220台灣新北市板橋區光環路一段137號
22035,K18,25.01864754,121.4852674,光復街172巷,板橋區,220台灣新北市板橋區光復街172巷14號
22036,K18,25.01858454,121.4850482,光復街172巷,板橋區,220台灣新北市板橋區光復街172巷14號
22037,K18,25.01829682,121.4840725,光環路一段,板橋區,220台灣新北市板橋區光環路一段137號
22038,K18,25.01831309,121.4841201,光復街,板橋區,220台灣新北市板橋區光復街116號
22039,K18,25.01832814,121.484172,光復街,板橋區,220台灣新北市板橋區光復街116號
22040,K18,25.01834307,121.4842232,光復街,板橋區,220台灣新北市板橋區光復街116號
22041,K18,25.018358,121.4842742,光復街,板橋區,220台灣新北市板橋區光復街116號
22042,K18,25.01837306,121.4843258,光復街,板橋區,220台灣新北市板橋區光復街136號
22043,K18,25.01838795,121.4843776,光復街,板橋區,220台灣新北市板橋區光復街136號
22044,K18,25.01840332,121.4844296,光復街,板橋區,220台灣新北市板橋區光復街136號
22045,K18,25.01841869,121.4844819,光復街,板橋區,220台灣新北市板橋區光復街136號
22046,K18,25.0184332,121.4845342,光復街,板橋區,220台灣新北市板橋區光復街136號
22053,K18,25.01844845,121.4845862,光復街,板橋區,220台灣新北市板橋區光復街136號
22054,K18,25.01846398,121.4846382,光復街,板橋區,220台灣新北市板橋區光復街136號
22055,K18,25.01849459,121.4847409,光復街,板橋區,220台灣新北市板橋區光復街138號
22056,K18,25.01850904,121.48479,光復街,板橋區,220台灣新北市板橋區光復街138號
22057,K18,25.01852427,121.4848405,光復街,板橋區,220台灣新北市板橋區光復街138號
22058,K18,25.01853951,121.4848921,光復街172巷,板橋區,220台灣新北市板橋區光復街172巷14號
22059,K18,25.01855414,121.4849438,光復街172巷,板橋區,220台灣新北市板橋區光復街172巷14號
22060,K18,25.01856916,121.4849961,光復街172巷,板橋區,220台灣新北市板橋區光復街172巷14號
22061,K18,25.01859942,121.4851004,光復街172巷,板橋區,220台灣新北市板橋區光復街172巷14號
22066,K18,25.01866281,121.4853193,光復街172巷,板橋區,220台灣新北市板橋區光復街172巷14號
22067,K18,25.01867808,121.4853711,光復街172巷,板橋區,220台灣新北市板橋區光復街172巷14號
22068,K18,25.01869335,121.485423,光復街172巷,板橋區,220台灣新北市板橋區光復街172巷14號
22069,K18,25.01870862,121.4854748,光復街172巷,板橋區,220台灣新北市板橋區光復街172巷14號
22070,K18,25.01872389,121.4855267,光復街172巷,板橋區,220台灣新北市板橋區光復街172巷14號
22071,K18,25.01873916,121.4855785,光復街172巷,板橋區,220台灣新北市板橋區光復街172巷14號
22072,K18,25.01880126,121.48579,光環路一段,板橋區,220台灣新北市板橋區光環路一段179號
22073,K18,25.01878609,121.4857382,光環路一段,板橋區,220台灣新北市板橋區光環路一段8號
22074,K18,25.01884676,121.4859457,光環路一段,板橋區,220台灣新北市板橋區光環路一段179號
22075,K18,25.01883159,121.4858938,光環路一段,板橋區,220台灣新北市板橋區光環路一段179號
22076,K18,25.01886192,121.4859976,光環路一段,板橋區,220台灣新北市板橋區光環路一段179號
22077,K18,25.01881642,121.4858419,光環路一段,板橋區,220台灣新北市板橋區光環路一段179號
22078,K18,25.01887694,121.4860495,光環路一段,板橋區,220台灣新北市板橋區光環路一段190號
22079,K18,25.01847981,121.4846902,光復街,板橋區,220台灣新北市板橋區光復街136號
22082,K18,25.01817776,121.4838996,光環路一段,板橋區,220台灣新北市板橋區光環路一段137號
22495,K42,25.01551837,121.4565402,中正路,板橋區,220台灣新北市板橋區中正路137號
23040,K42,25.01484067,121.456245,大智街,板橋區,220台灣新北市板橋區大智街6號
23041,K42,25.01483766,121.4562645,大智街,板橋區,220台灣新北市板橋區大智街6號
23254,KD4,25.0023679,121.4638518,忠孝路,板橋區,220台灣新北市板橋區忠孝路150號
23255,KD4,25.00248721,121.463596,忠孝路,板橋區,220台灣新北市板橋區忠孝路153號
23257,KD4,25.00204937,121.4618909,忠孝路,板橋區,220台灣新北市板橋區忠孝路96號
23292,K63,25.02769351,121.4713509,文化路二段182巷1弄,板橋區,220台灣新北市板橋區文化路二段182巷1弄8號
23304,K63,25.02834212,121.471694,文化路二段182巷1弄,板橋區,220台灣新北市板橋區文化路二段182巷1弄28號
23400,K52,24.99239129,121.4519835,四川路二段245巷,板橋區,"號, No. 50四川路二段245巷板橋區新北市台灣 220"
23551,K27,25.00993651,121.4704873,板橋區,新北市,220台灣新北市板橋區海山高中
23562,K27,25.00979343,121.4701409,板橋區,新北市,220台灣新北市板橋區海山高中
23563,KD6,25.00880639,121.4708234,民族路247巷7弄,板橋區,220台灣新北市板橋區民族路247巷7弄58號
23564,KD6,25.00878677,121.4707734,民族路247巷7弄,板橋區,220台灣新北市板橋區民族路247巷7弄58號
23702,K63,25.02705702,121.4722067,文化路二段182巷7弄,板橋區,220台灣新北市板橋區文化路二段182巷7弄6號
24550,KB4,24.99908066,121.4316497,莊崑路,板橋區,22072台灣新北市板橋區莊崑路63號
24551,KB4,24.99879436,121.4313686,莊崑路,板橋區,22072台灣新北市板橋區莊崑路63號
24552,KB4,24.99888054,121.4314422,莊崑路,板橋區,22072台灣新北市板橋區莊崑路63號
24553,KB4,24.99892058,121.4314796,莊崑路,板橋區,22072台灣新北市板橋區莊崑路63號
24646,K27,25.00931173,121.4690229,海山路,板橋區,220台灣新北市板橋區海山路9號
24647,K27,25.00929091,121.4689723,海山路,板橋區,220台灣新北市板橋區海山路17號
24689,K83,24.99411527,121.4624071,廣和街,板橋區,220台灣新北市板橋區廣和街56號
24704,K83,24.99415888,121.4624002,廣和街,板橋區,220台灣新北市板橋區廣和街56號
25037,K80,24.99538375,121.4634421,板橋區,新北市,220台灣新北市板橋區五權街口
25038,K80,24.99534403,121.4634672,五權街,板橋區,220台灣新北市板橋區五權街1之8號
25039,K80,24.9953041,121.4634928,五權街,板橋區,220台灣新北市板橋區五權街1之8號
25040,K80,24.99522476,121.4635443,五權街,板橋區,220台灣新北市板橋區五權街1之8號
25042,K80,24.99543321,121.4634115,板橋區,新北市,220台灣新北市板橋區五權街口
25043,K80,24.99526446,121.4635187,五權街,板橋區,220台灣新北市板橋區五權街1之8號
25050,K80,24.99513675,121.4636003,五權街,板橋區,220台灣新北市板橋區五權街1之8號
25051,K80,24.99509678,121.4636262,五權街,板橋區,220台灣新北市板橋區五權街1之8號
25052,K80,24.99505719,121.4636518,五權街,板橋區,220台灣新北市板橋區五權街5f號
25053,K80,24.99501743,121.4636773,五權街,板橋區,220台灣新北市板橋區五權街5f號
25113,K98,25.02118717,121.4532213,中正路397巷3弄,板橋區,220台灣新北市板橋區中正路397巷3弄36號
25275,K30,25.00843989,121.4647351,106縣道,板橋區,220台灣新北市板橋區106縣道100號
25633,KA6,24.98751976,121.4273139,滿平街136巷8弄,板橋區,220台灣新北市板橋區滿平街136巷8弄11號
25681,K07,25.02463486,121.4599037,新海路,板橋區,220台灣新北市板橋區新海路354號
25845,K18,25.01635819,121.4819646,光環路一段,板橋區,220台灣新北市板橋區光環路一段6號
25846,K18,25.01617664,121.4819807,光環路一段,板橋區,220台灣新北市板橋區光環路一段6號
26028,KD6,25.0087284,121.4706246,民族路247巷7弄,板橋區,220台灣新北市板橋區民族路247巷7弄52號
26110,K42,25.01383567,121.4564355,中正路,板橋區,220台灣新北市板橋區中正路69號
26111,K42,25.0134262,121.4563794,中正路,板橋區,220台灣新北市板橋區中正路43號
26112,K42,25.0133769,121.456373,中正路,板橋區,220台灣新北市板橋區中正路43號
26113,K29,25.00869295,121.4634322,實踐路,板橋區,220台灣新北市板橋區實踐路1號
26194,T52,25.01570684,121.4835448,光中路,板橋區,220台灣新北市板橋區光中路109號
26332,KA1,24.99497381,121.4622513,和平路,板橋區,220台灣新北市板橋區和平路101號
26386,K07,25.02467788,121.4598765,板橋區,新北市,220台灣新北市板橋區新埔國中
26387,K18,25.01704638,121.4824247,光環路一段,板橋區,220台灣新北市板橋區光環路一段27號
26548,K76,25.01432336,121.4748275,中山路二段60巷,板橋區,220台灣新北市板橋區中山路二段60巷60a號
26740,K42,25.01847534,121.4557323,中正路,板橋區,220台灣新北市板橋區中正路257號
26813,K49,25.0236877,121.4830956,萬安街53巷,板橋區,220台灣新北市板橋區萬安街53巷30號
26939,K92,25.01043772,121.451093,大觀路一段28巷6弄,板橋區,220台灣新北市板橋區大觀路一段28巷6弄31號
26947,K99,25.01152985,121.4517467,南雅西路二段145巷,板橋區,220台灣新北市板橋區南雅西路二段145巷13號
27072,K18,25.01799678,121.4836375,光環路一段,板橋區,220台灣新北市板橋區光環路一段137號
27154,K06,25.02483842,121.4621607,雨農路,板橋區,220台灣新北市板橋區雨農路14號
27156,K14,25.02068441,121.4703997,板橋區,新北市,220台灣新北市板橋區莊敬公園
27157,K14,25.02063078,121.470308,民生路二段186巷,板橋區,220台灣新北市板橋區民生路二段186巷3號
27162,KD4,25.00285641,121.4668427,忠孝路,板橋區,220台灣新北市板橋區忠孝路261號
27163,KD4,25.00288333,121.4670036,忠孝路,板橋區,220台灣新北市板橋區忠孝路261號
27171,K28,25.00864353,121.4626896,公園街,板橋區,220台灣新北市板橋區公園街30號
27173,K28,25.00898364,121.4629308,公園街,板橋區,220台灣新北市板橋區公園街16號
27174,K28,25.00894184,121.4629014,公園街,板橋區,220台灣新北市板橋區公園街16號
27177,K24,25.00868968,121.471353,漢生東路,板橋區,220台灣新北市板橋區漢生東路308號
27178,K25,25.01833212,121.4602809,國光路,板橋區,220台灣新北市板橋區國光路167號
27179,K25,25.01834911,121.4603573,國光路,板橋區,220台灣新北市板橋區國光路171-1號
27186,KA3,24.99452735,121.4602289,和平路,板橋區,220台灣新北市板橋區和平路22號
27187,K12,25.02702882,121.4619383,互助街,板橋區,220台灣新北市板橋區互助街40號
27191,K12,25.02742564,121.4626903,互助街,板橋區,220台灣新北市板橋區互助街20號
27212,K11,25.02461196,121.4774507,雙十路一段,板橋區,220台灣新北市板橋區雙十路一段25號
27213,K11,25.02418892,121.4778307,板橋區,新北市,220台灣新北市板橋區永安公園
27214,K11,25.0241563,121.4778718,板橋區,新北市,220台灣新北市板橋區永安公園
27215,K03,25.014644,121.4792201,三民路二段,板橋區,220台灣新北市板橋區三民路二段165號
27216,K03,25.01471074,121.4792253,三民路二段,板橋區,220台灣新北市板橋區三民路二段161號
27217,K03,25.01644194,121.4793679,三民路二段,板橋區,220台灣新北市板橋區三民路二段91號
27218,K03,25.01649771,121.4793715,三民路二段,板橋區,220台灣新北市板橋區三民路二段89號
27219,K03,25.01935001,121.479317,三民路一段,板橋區,220台灣新北市板橋區三民路一段187號
27220,K03,25.01939903,121.4793157,三民路一段,板橋區,220台灣新北市板橋區三民路一段183號
27221,K03,25.0194491,121.4793146,三民路一段,板橋區,220台灣新北市板橋區三民路一段183號
27222,K03,25.01997704,121.4792966,北91鄉道,板橋區,220台灣新北市板橋區北91鄉道139號
27223,K03,25.0203625,121.4793086,北91鄉道,板橋區,220台灣新北市板橋區北91鄉道133號
27224,K03,25.0203128,121.4793071,北91鄉道,板橋區,220台灣新北市板橋區北91鄉道133號
27225,K03,25.02041189,121.4793098,北91鄉道,板橋區,220台灣新北市板橋區北91鄉道133號
27226,K35,25.02131812,121.4809184,中山路二段443巷,板橋區,220台灣新北市板橋區中山路二段443巷45號
27227,K35,25.02061123,121.4809667,中山路二段443巷,板橋區,220台灣新北市板橋區中山路二段443巷14號
27228,K35,25.02133474,121.4809988,中山路二段443巷,板橋區,220台灣新北市板橋區中山路二段443巷44號
27229,K35,25.02123549,121.4810068,中山路二段443巷,板橋區,220台灣新北市板橋區中山路二段443巷42號
27234,K33,25.02036321,121.472098,莊敬路220巷,板橋區,220台灣新北市板橋區莊敬路220巷48號
27235,K33,25.02033183,121.4720563,莊敬路220巷,板橋區,220台灣新北市板橋區莊敬路220巷48號
27236,K33,25.02037889,121.4716721,民生路二段,板橋區,220台灣新北市板橋區民生路二段168號
27237,K33,25.02030047,121.4720141,莊敬路220巷,板橋區,220台灣新北市板橋區莊敬路220巷41號
27238,K33,25.02026911,121.4719718,板橋區,新北市,220台灣新北市板橋區新北市板橋區
27239,K33,25.02045295,121.4716199,莊敬路220巷,板橋區,220台灣新北市板橋區莊敬路220巷170號
27240,K33,25.02057212,121.471535,莊敬路208巷8弄,板橋區,220台灣新北市板橋區莊敬路208巷8弄1號
27244,K38,25.01191923,121.4556546,6,中正路1巷,220台灣新北市板橋區中正路1巷6號秋風凱紀念園
27245,K38,25.01188751,121.4555881,中正路1巷,板橋區,220台灣新北市板橋區中正路1巷6號
27246,K38,25.01185747,121.4555288,中正路1巷,板橋區,220台灣新北市板橋區中正路1巷6號
27247,K38,25.01182684,121.4554859,中正路1巷,板橋區,220台灣新北市板橋區中正路1巷8號
27248,K38,25.01179578,121.4554435,中正路1巷,板橋區,220台灣新北市板橋區中正路1巷8號
27249,K38,25.01171996,121.4553403,中正路1巷,板橋區,220台灣新北市板橋區中正路1巷12號
27268,K79,25.01384901,121.4746376,民生路一段,板橋區,220台灣新北市板橋區民生路一段89號
27269,K79,25.01388411,121.4746026,民生路一段,板橋區,220台灣新北市板橋區民生路一段89號
27328,KC4,25.01195937,121.4706583,漢生東路193巷,板橋區,220台灣新北市板橋區漢生東路193巷20號
27329,K62,25.00012725,121.4447515,大觀路二段,板橋區,220台灣新北市板橋區大觀路二段96號
27330,K03,25.01756219,121.4791438,三民路二段,板橋區,220台灣新北市板橋區三民路二段40-1號
27382,KD5,25.00969493,121.4652582,區運路,板橋區,220台灣新北市板橋區區運路9號
27396,K27,25.00958016,121.467234,海山路,板橋區,220台灣新北市板橋區海山路37-1號
27397,K27,25.00962408,121.4672105,海山路,板橋區,220台灣新北市板橋區海山路37-1號
27408,KA6,24.98764367,121.4274335,滿平街136巷8弄,板橋區,220台灣新北市板橋區滿平街136巷8弄11號
27418,K06,25.02440626,121.4616975,雨農路,板橋區,220台灣新北市板橋區雨農路17號
27419,K06,25.02438363,121.4616541,雨農路,板橋區,220台灣新北市板橋區雨農路17號
27420,K06,25.02450056,121.4618786,雨農路,板橋區,220台灣新北市板橋區雨農路18號
27433,KB2,25.0318611,121.4630818,溪頭街,板橋區,220台灣新北市板橋區溪頭街241號
27435,KA1,24.99530485,121.4579172,國慶路,板橋區,"號, No. 8國慶路板橋區新北市台灣 220"
